category,total,Argentina,Australia,Brazil,Chile,China,Taiwan,Colombia,Ecuador,Palestine,Germany,Hong Kong,India,Iraq,Japan,South Korea,Mexico,Morocco,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Romania,Spain,Sweden,Thailand,Egypt,United States,Uruguay
Very important,13.3,8.3,7.8,12.5,7.4,10.4,6.7,9.8,21.1,16.7,10.1,8.8,17,12.2,23.5,13.3,17,6.2,3.3,7.3,8.6,12.7,24.3,5.3,5.7,5.9,17.3,32,31,11.2,11.6
Rather important,30.2,22.4,35.5,28.8,14.7,28.3,23.3,14.7,26.1,33.5,34.2,37.5,26.2,29.9,42.6,41.9,28,9.3,36.5,39.7,28.3,21.2,39.4,27.5,17,15.8,45.3,41,44,41.8,17
Not very important,33.8,34.9,41.1,29.6,40.8,46.5,48.7,38.2,29.2,29.8,42.5,44.8,26.8,29.1,23.9,33.6,31.8,22,46.3,37.3,32.1,42,20.2,44.9,38,41,27.8,19.8,14,34.9,33.8
Not at all important,20.3,32.9,10.8,28.4,35.9,7.2,19,36.8,23.5,18.5,13.1,8.2,25.9,27.8,2.7,9.9,23.3,53.5,12.4,10.9,30.3,21.5,15.7,21.8,38.1,36.5,8.9,5.2,11,11,36.8
"HT: Missing; PS,SE: Inapplicable;RU: Inappropriate response",0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0,0,0
Not applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
No answer,0.7,1,4.7,0.3,0.5,0.9,0.3,0,0,0,0,0.7,0,0,0,1.3,0,6.2,0,4.8,0.3,1.2,0,0,0.5,0.3,0.4,0.4,0,1.1,0.5
Don´t know,1.6,0.4,0,0.5,0.7,6.8,1.9,0.5,0,1.4,0,0,4.1,0.8,7.2,0,0,2.8,1.5,0,0.4,1.4,0.4,0.5,0.7,0.4,0.2,0.9,0,0,0.3
(N),44.584,1.03,1.477,1.486,1,2.3,1.238,1.512,1.202,1,2.046,1,4.078,1.2,2.443,1.2,2,1.2,1.902,841,1.2,1.21,1.2,966,1.503,1.189,1.206,1.2,1.523,2.232,1
